seller_id,snapshot,n_orders,v_mean,v_z,bad_rate,financed_value,kind
951e8cef368f09bb3f3d03c00ca4702c,2018-07-28 21:15:19,42,33.0,2.67339836603702,0.16666666666666666,1917.29,VOLUME SURGE
87142160b41353c4e5fca2360caf6f92,2018-07-28 21:15:19,43,37.0,3.243243243243243,0.023255813953488372,2068.17,VOLUME SURGE
79ebd9a61bac3eaf882805ed4ecfa12a,2018-07-28 21:15:19,36,30.75,3.074085229787861,0.1111111111111111,4362.02,VOLUME SURGE
4869f7a5dfa277a7dca6462dcf3b52b2,2018-07-28 21:15:19,240,286.75,-3.0415552273562616,0.1,30092.8,VOLUME COLLAPSE
f46490624488d3ff7ce78613913a7711,2018-07-28 21:15:19,54,42.25,2.976512332991284,0.2962962962962963,2817.37,VOLUME SURGE
02f623a8eb246f3c5f7c2f96462654e6,2018-07-28 21:15:19,28,19.25,2.648274679602921,0.03571428571428571,2398.07,VOLUME SURGE
cac4c8e7b1ca6252d8f20b2fc1a2e4af,2018-07-28 21:15:19,16,19.25,-2.5828380962768356,0.125,42.12,VOLUME COLLAPSE
080102cd0a76b09e0dcf55fcacc60e05,2018-07-28 21:15:19,40,48.5,-3.5051546391752573,0.025,309.08,VOLUME COLLAPSE
66922902710d126a0e7d26b0e3805106,2018-07-28 21:15:19,24,19.75,4.25,0.0,1523.6200000000001,VOLUME SURGE
fd386aa7bed2af3c7035c65506c9b4a3,2018-07-28 21:15:19,32,26.5,2.642114537783937,0.15625,690.32,VOLUME SURGE
6560211a19b47992c3666cc44a7e94c0,2018-07-28 21:15:19,433,371.25,2.5561452106355786,0.16859122401847576,21688.88,VOLUME SURGE
53243585a1d6dc2643021fd1853d8905,2018-07-28 21:15:19,24,11.5,7.216878364870936,0.08333333333333333,4360.49,VOLUME SURGE
562fc2f2c2863ab7e79a9e4388a58a14,2018-07-28 21:15:19,103,121.75,-2.6106374910842396,0.10679611650485436,2392.3,VOLUME COLLAPSE
d9a84e1403de8da0c3aa531d6d108ba6,2018-07-28 21:15:19,22,26.75,-3.551401869158878,0.045454545454545456,214.18,VOLUME COLLAPSE
643214e62b870443ccbe55ab29a4dccf,2018-07-28 21:15:19,20,15.25,2.7813152079033188,0.05,439.35,VOLUME SURGE
640e21a7d01df7614a3b4923e990d40c,2018-07-28 21:15:19,62,50.0,4.8,0.11290322580645161,3759.61,VOLUME SURGE
8b9d6eec4a7eb7d0f9d579ce0b38324d,2018-07-28 21:15:19,33,18.0,2.523474693414199,0.21212121212121213,2032.57,VOLUME SURGE
6a8b085f816a1f75f92dbac6eb545f8f,2018-07-28 21:15:19,19,16.25,2.75,0.05263157894736842,383.73,VOLUME SURGE
cc63f0dd2acba93ffed4fe9f8e0321fa,2018-07-28 21:15:19,24,16.75,4.833333333333338,0.08333333333333333,1966.91,VOLUME SURGE
dbc22125167c298ef99da25668e1011f,2018-07-28 21:15:19,45,54.5,-3.4862385321100917,0.06666666666666667,3350.4900000000002,VOLUME COLLAPSE
06e5eefc71ec47ae763c5c6f8db7064f,2018-07-28 21:15:19,25,30.25,-3.471074380165289,0.2,4485.83,VOLUME COLLAPSE
9f505651f4a6abe901a56cdc21508025,2018-07-28 21:15:19,153,134.0,2.835820895522388,0.13071895424836602,4899.11,VOLUME SURGE
7d13fca15225358621be4086e1eb0964,2018-07-28 21:15:19,284,335.25,-3.057419835943326,0.15140845070422534,40040.11,VOLUME COLLAPSE
8f2ce03f928b567e3d56181ae20ae952,2018-07-28 21:15:19,32,28.25,2.654867256637168,0.0625,2465.08,VOLUME SURGE
900ba814c251a692506d7834c1218441,2018-07-28 21:15:19,13,22.5,-4.961213194737385,0.0,3074.13,VOLUME COLLAPSE
9e6229250fedbe05838fef417b74e7fb,2018-07-28 21:15:19,43,34.5,2.56284642891099,0.06976744186046512,7100.67,VOLUME SURGE
3f3486b61f45078d4f31ee5e43d8c5bb,2018-07-28 21:15:19,5,11.25,-2.818672605010608,0.2,324.65999999999997,VOLUME COLLAPSE
6b243f80ed07b10f0e8aa0f21a205f3c,2018-07-28 21:15:19,18,22.0,-3.4641016151377606,0.05555555555555555,950.8100000000001,VOLUME COLLAPSE
dfa0c4c6229ab200a4a1336b4d7128ff,2018-07-28 21:15:19,51,41.5,3.290896534380868,0.1568627450980392,2917.09,VOLUME SURGE
0be8ff43f22e456b4e0371b2245e4d01,2018-07-28 21:15:19,24,19.0,3.5355339059327373,0.125,932.58,VOLUME SURGE
289cdb325fb7e7f891c38608bf9e0962,2018-07-28 21:15:19,49,32.0,4.083267922029722,0.02040816326530612,4774.16,VOLUME SURGE
3be634553519fb6536a03e1358e9fdc7,2018-07-28 21:15:19,6,16.75,-6.294555470518036,0.0,66.61,VOLUME COLLAPSE
955fee9216a65b617aa5c0531780ce60,2018-07-28 21:15:19,361,455.5,-2.519328268680587,0.11911357340720222,29807.88,VOLUME COLLAPSE
612170e34b97004b3ba37eae81836b4c,2018-07-21 21:15:19,58,16.75,3.0611595135980094,0.06896551724137931,8544.08,VOLUME SURGE
